iter	RMSE
0	2433937.111
1	2369618.002	2	2313670.033	3	2260706.024	4	2211147.815	5	2161122.26	66	2114053.37	27	2068014.68	8	1901516.89	19	1866443.010	1951858.315
11	1911765.134
12	1870315.993
13	1832005.687
14	1800349.056
15	1768294.803
16	1734472.226
17	1699473.53
18	1666134.657
19	1637551.516
20	1612673.496
21	1583323.26
22	122	153743623	1523	152483924	1524	149889625	1425	14846026	14526	14715227	14327	14459928	14128	14245229	13829	1401373.288
30	1379006.757
31	13542832	13232	13430333	1307431.383
34	1293209.227
35	1274955.782
36	1261130.787
37	1244977.315
38	1234593.52
39	1224270.196
40	1212662.618
41	1197195.824
42	1182301.67
43	1173545.176
44	1162500.654
45	1154185.914
46	1144974.239
47	1130818.538
48	1116734.116
4949	1107238.375050	1096541.105151	1087461.79552	1078108.947
53	1065344.849
5454	1051374.875555	1037979.2856	1037398.689
57	1027055.464
58	1017928.461
59	1004453.752
60	996009.995
61	987126.1924
62	978817.4323
63	970497.119
64	963160.7368
65	952834.9972
66	943174.4743
67	936019.2652
68	927278.345
69	920023.2563
70	912374.0992
71	905670.4842
72	896567.9879
73	887827.6134
74	880685.0966
75	872506.2108
76	865393.6611
77	859067.1195
78	852307.8321
79	846574.2611
80	839107.5124
81	831191.3254
82	826365.2655
83	818321.89
84	811643.2739
85	803270.063
86	798652.4141
87	792231.501
88	786678.7767
89	781151.6325
90	776683.1757
91	772351.574
92	767193.8922
93	762074.2927
94	757150.9725
95	751977.3985
96	745946.9376
97	739805.6429
98	734892.9099
99	730314.7231
100	725488.6472
101	716428.9582
102	712019.4793
103	708185.9527
104	704514.2602
105	699004.0438
106	695430.631
107	691148.0644
108	686877.971
109	683396.4516
110	675986.3727
111	672502.1572
11112	297996.86311113	296041.1811114	293792.410115	647398.276
116116	289128.46117117	286404.39118118	284023.15119	621224.7712
120120	280258.92121	613539.7257
122	609893.1838
123	606156.5706
124	598394.0565
125	594603.1241
126	590036.0537
127	587212.5846
128	583722.1437
129	579362.7472
130	572532.0589
131	568570.7183
