iter	Passed	Remaining
0	139	139720
1	159	79815
2	177	58935
3	195	48566
4	226	44985
5	251	41643
6	272	38602
7	292	36231
8	312	34401
9	331	32797
10	360	32425
11	393	32439
12	429	32584
13	451	31827
14	480	31578
15	498	30681
16	516	29872
17	532	29042
18	549	28352
19	562	27580
20	580	27049
21	600	26709
22	620	26362
23	635	25856
24	670	26134
25	692	25939
26	717	25872
27	736	25569
28	756	25326
29	780	25220
30	804	25132
31	818	24752
32	832	24408
33	853	24244
34	881	24315
35	897	24046
36	909	23672
37	923	23369
38	941	23211
39	956	22957
40	970	22695
41	991	22613
42	1018	22665
43	1035	22507
44	1051	22322
45	1076	22324
46	1098	22266
47	1121	22234
48	1140	22128
49	1155	21962
50	1178	21928
51	1196	21818
52	1232	22028
53	1262	22124
54	1283	22057
55	1303	21971
56	1318	21811
57	1341	21783
58	1378	21983
59	1408	22063
60	1453	22373
61	1490	22554
62	1513	22505
63	1534	22443
64	1561	22461
65	1576	22305
66	1593	22186
67	1617	22163
68	1639	22118
69	1673	22227
70	1691	22135
71	1714	22102
72	1733	22014
73	1759	22013
74	1782	21981
75	1806	21964
76	1826	21894
77	1855	21937
78	1872	21829
79	1892	21762
80	1919	21778
81	1939	21717
82	1961	21669
83	1976	21555
84	1999	21528
85	2019	21462
86	2038	21392
87	2062	21372
88	2078	21271
89	2094	21179
90	2112	21098
91	2133	21060
92	2151	20985
93	2170	20919
94	2193	20891
95	2219	20900
96	2239	20846
97	2265	20851
98	2286	20813
99	2304	20744
100	2321	20660
101	2336	20573
102	2348	20451
103	2370	20422
104	2388	20357
105	2415	20375
106	2430	20287
107	2446	20206
108	2469	20189
109	2489	20142
110	2509	20098
111	2533	20086
112	2549	20008
113	2562	19915
114	2585	19900
115	2609	19889
116	2639	19922
117	2659	19881
118	2671	19779
119	2691	19739
120	2709	19685
121	2726	19619
122	2745	19576
123	2765	19539
124	2787	19511
125	2802	19439
126	2819	19383
127	2832	19294
128	2852	19261
129	2873	19227
130	2891	19179
131	2907	19121
132	2926	19078
133	2947	19051
134	2960	18967
135	2976	18911
136	2997	18879
137	3020	18867
138	3044	18856
139	3064	18825
140	3082	18782
141	3099	18725
142	3114	18663
143	3142	18681
144	3175	18723
145	3195	18692
146	3218	18675
147	3246	18686
148	3265	18650
149	3283	18607
150	3304	18581
151	3322	18538
152	3342	18501
153	3361	18466
154	3382	18439
155	3408	18440
156	3425	18392
157	3447	18374
158	3464	18327
159	3485	18298
160	3512	18302
161	3530	18264
162	3545	18208
163	3558	18140
164	3580	18120
165	3607	18123
166	3626	18091
167	3642	18041
168	3655	17976
169	3672	17929
170	3687	17878
171	3704	17833
172	3718	17776
173	3740	17755
174	3758	17717
175	3775	17677
176	3794	17642
177	3812	17603
178	3827	17554
